wikidata|samian
Q103166164|1000350
Q103159147|1000351
Q103157739|1000352
Q103199838|1000353
Q103172435|1000354
Q103161873|1000355
Q103198177|1000356
Q103197180|1000357
Q103200141|1000358
Q103158982|1000359
Q103159697|1000361
Q103154895|1000362
Q103200389|1000363
Q103148124|1000364
Q103199061|1000365
Q103164619|1000366
Q103199567|1000369
Q103172536|1000370
Q103198229|1000371
Q103191575|1000372
Q103146669|1000373
Q103186454|1000374
Q103176368|1000375
Q103191225|1000376
Q103158286|1000377
Q103168271|1000378
Q103138185|1000379
Q103159476|1000380
Q103185457|1000381
Q103188000|1000382
Q103162456|1000383
Q103160951|1000384
Q103195032|1000385
Q103195105|1000386
Q103190478|1000387
Q103194606|1000388
Q103161212|1000389
Q103161760|1000390
Q103164089|1000391
Q103195619|1000392
Q103181234|1000394
Q103148980|1000395
Q103163153|1000396
Q103200021|1000397
Q103192318|1000398
Q103196058|1000399
Q103196205|1000400
Q103150158|1000401
Q103199121|1000403
Q103179587|1000404
Q103160847|1000406
Q103163954|1000407
Q103157898|1000408
Q103194423|1000410
Q103200430|1000411
Q103189480|1000413
Q103187416|1000414
Q103163982|1000415
Q103187447|1000416
Q103187207|1000417
Q103146693|1000418
Q103158362|1000419
Q103162655|1000420
Q103187119|1000422
Q103160004|1000423
Q103188974|1000424
Q103163740|1000425
Q103163202|1000426
Q103199451|1000427
Q103159596|1000428
Q103161058|1000429
Q103163137|1000430
Q103173110|1000431
Q103174466|1000432
Q103161836|1000433
Q103160039|1000437
Q103200274|1000439
Q103160650|1000440
Q103172399|1000441
Q103146597|1000442
Q103173253|1000443
Q103162040|1000444
Q103187836|1000445
Q103188072|1000446
Q103164597|1000447
Q103163359|1000448
Q103190857|1000450
Q103198122|1000451
Q103146499|1000452
Q103195002|1000453
Q103185507|1000454
Q103145424|1000455
Q103163990|1000456
Q103200340|1000457
Q103191247|1000459
Q103158832|1000460
Q103162642|1000461
Q103146889|1000462
Q103189948|1000463
Q103162108|1000464
Q103164735|1000465
Q103187786|1000466
Q103187869|1000467
Q103157697|1000468
Q103158375|1000469
Q103196411|1000470
Q103195343|1000471
Q103177777|1000472
Q103163606|1000473
Q103174805|1000474
