wikidata|samian
Q102764958|131462
Q103132300|325804
Q103132304|120865
Q103132311|156975
Q103132318|119713
Q103132326|154914
Q103132334|515804
Q103132343|162142
Q103132348|401298
Q103132358|187237
Q103132368|799448
